State,EPI Ranking,Environmental Performance Index,Environmental Health,Ecosystem Vitality
Tanzania,119,50.83,45.00,54.71
Thailand,121,49.88,46.21,52.33
Timor-Leste,125,49.54,51.02,48.56
Togo,159,41.78,38.25,44.14
Tonga,57,62.49,62.51,62.48
Trinidad and Tobago,35,67.36,81.44,57.96
Tunisia,58,62.35,81.12,49.83
Turkey,108,52.96,71.56,40.57
Turkmenistan,38,66.10,73.53,61.15
Uganda,145,44.28,33.64,51.38
Ukraine,109,52.87,64.44,45.16
United Arab Emirates,77,58.90,67.88,52.92
United Kingdom,6,79.89,96.03,69.13
United States of America,27,71.19,93.91,56.04
Uruguay,47,64.65,84.72,51.27
Uzbekistan,136,45.88,50.67,42.69
Vanuatu,144,44.55,50.46,40.61
Venezuela,51,63.89,75.74,55.99
Viet Nam,132,46.96,47.12,46.86
Zambia,117,50.97,31.57,63.91
Zimbabwe,149,43.41,40.58,45.30
