name,total,deaths,code,AirQuality,WaterSanitation,AirPollution,Emissions,iso,Country
Malta,584,6,MLT,15.69,20.02,32.38,50.79,PAK,Pakistan
Martinique,192,14,MTQ,78.88,43.45,46.87,54.32,PAN,Panama
Mauritania,141,4,MRT,60,18.48,22.16,55.36,PNG,Papua New Guinea
Mauritius,332,10,MUS,65.39,44.96,53.42,54.05,PRY,Paraguay
Mayotte,1475,19,MYT,58.21,50.38,57.76,58.04,PER,Peru
Mexico,56594,6090,MEX,62.96,42.86,66.85,54.54,PHL,Philippines
Moldova,6553,228,MDA,53.04,69.23,72.3,64.33,POL,Poland
Monaco,97,4,MCO,90.99,93.59,67.18,56.89,PRT,Portugal
Mongolia,140,,MNG,76.29,72.9,86.88,68.68,QAT,Qatar
Montenegro,324,9,MNE,23.84,10.26,46.78,59.34,COG,Republic of Congo
Montserrat,11,1,MSR,57.37,59.9,71.2,68.53,ROU,Romania
Morocco,7133,194,March,79.99,63.93,77.78,49.88,RUS,Russia
Mozambique,156,,MOZ,37.87,14.96,68.44,69.91,RWA,Rwanda
MS Zaandam,9,2,MSZ,84.2,47.79,29.76,40.29,LCA,Saint Lucia
Myanmar,199,6,MMR,79.96,47.25,32.99,55.95,VCT,Saint Vincent and the Grenadines
Namibia,16,,NAM,67.42,49.92,65.79,42.8,WSM,Samoa
Nepal,444,2,NPL,64.07,29.32,41.99,55.13,STP,SÃ£o TomÃ© and PrÃ­ncipe
Netherlands,44447,5748,NLD,79.91,62.38,25.4,40.47,SAU,Saudi Arabia
New Caledonia,18,,NCL,63.78,13.67,28.39,38.73,SEN,Senegal
New Zealand,1503,21,NZL,56.67,69.73,59.76,61.77,SRB,Serbia
Nicaragua,254,17,NIC,88.03,58.28,2.63,93.25,SYC,Seychelles
Niger,920,58,NER,60.68,2.5,45.51,48.19,SLE,Sierra Leone
Nigeria,6677,200,NGA,58.99,99,97.76,67.64,SGP,Singapore
Macedonia,1858,110,MKD,59.42,69.62,79.51,74.21,SVK,Slovakia
Norway,8281,234,NOR,71.25,70.59,49.85,51.16,SVN,Slovenia
Oman,6043,30,OMN,60.53,28.02,59.13,63.2,SLB,Solomon Islands
