code,iso,Country,EPIcurrent,EPI.baseline,HLT.current,HLT.baseline,AIRcurrent,AIR.baseline,H2O.current,H2O.baseline,HMT.current,HMT.baseline,ECO.current,ECO.baseline,BDH.current,BDH.baseline,FRT.current,FRT.baseline,FSH.current,FSH.baseline,CCE.current,CCE.baseline,APE.current,APE.baseline,WRS.current,WRS.baseline,AGR.current,AGR.baseline,HAD.current,HAD.baseline,PME.current,PME.baseline,PMW.current,PMW.baseline,USD.current,USD.baseline,UWD.current,UWD.baseline,PBD.current,PBD.baseline,MPA.current,MPA.baseline,TBN.current,TBN.baseline,TBG.current,TBG.baseline,SPI.current,SPI.baseline,PAR.current,PAR.baseline,SHI.current,SHI.baseline,TCL.current,TCL.baseline,FSS.current,FSS.baseline,MTR.current,MTR.baseline,DCT.current,DCT.baseline,DPT.current,DPT.baseline,DMT.current,DMT.baseline,DNT.current,DNT.baseline,DBT.current,DBT.baseline,DST.current,DST.baseline,DXT.current,DXT.baseline,WWT.current,WWT.baseline,SNM.current,SNM.baseline
203,CZE,Czech Republic,67.68,70.36,68.69,72.13,65.77,70.26,69.98,73.24,98.82,89.74,67.01,69.18,94.96,93.79,17.8,21.76,,,54.65,54.17,57.07,77,95.77,95.77,62.17,62.17,72.86,62.99,56.56,72.3,65.55,77.92,75,79.56,64.96,66.92,98.82,89.74,,,100,100,100,100,100,100,72.89,60.81,86.82,89.54,17.8,21.76,,,,,59.61,63.45,44.24,44.24,60.13,51.21,41.66,36.57,37.81,30.57,57.5,100,56.64,53.99,95.77,95.77,62.17,62.17
180,COD,Dem. Rep. Congo,30.41,33.24,19.7,26.93,22.57,36.28,10.01,4.58,40.47,39.47,37.56,37.44,67.79,62.57,14.43,30.25,,,34.26,37.93,40.16,25.33,0,0,22.39,22.39,5.97,3.29,31.83,53.71,35.45,62.86,9.8,4.47,10.21,4.68,40.47,39.47,,,70.4,59.43,70.32,59.33,71.39,64.9,40.36,37.66,77.72,95.61,14.43,30.25,,,,,17.7,35.59,100,100,22.42,0.46,17.25,0.53,1.31,0.38,48.66,36.44,31.66,14.21,0,0,22.39,22.39
208,DNK,Denmark,81.6,78.76,98.2,95.53,99.16,96.05,97.78,97.52,88.3,76.75,70.53,67.58,94.48,93.99,12.74,13.17,50.75,39.74,67.56,61.85,71,70.4,98.45,98.45,67.02,67.02,99.75,90.22,100,100,97.53,99.89,99.13,97.12,96.43,97.92,88.3,76.75,100,100,100,100,100,100,100,100,51.51,45.05,93.33,94.85,12.74,13.17,51.54,39.18,49.96,40.3,69.4,59.43,65.72,65.72,73.72,65.52,40.37,52.09,59,65.61,96.8,90.02,45.21,50.78,98.45,98.45,67.02,67.02
262,DJI,Djibouti,40.04,34.84,52.89,48.25,69.73,66.92,19.3,10.8,35.47,30.36,31.47,25.9,28.88,24.52,,,47.92,46.91,46.4,35.26,11.01,6.22,0,0,25.79,25.79,25.18,17.3,100,100,98.85,100,19.52,10.78,19.08,10.81,35.47,30.36,70.18,70.18,7.85,0.51,7.85,0.51,7.71,0.61,10.83,7.84,90.76,93.79,,,74.62,82.12,21.22,11.71,43.69,39.36,,,60.06,26.39,54.26,25.17,21.92,23.47,11.65,6.61,10.36,5.82,0,0,25.79,25.79
212,DMA,Dominica,59.38,54.69,69.45,66.56,80.39,76.5,50.64,50.23,40.18,35.28,52.67,46.78,79.21,78.94,54.93,54.42,51.06,62.68,51.78,34.87,31.59,12.91,35.78,35.78,0,0,50.97,41.25,100,100,100,100,51.03,49.79,50.25,50.66,40.18,35.28,58.92,58.92,81.31,81.31,86.99,86.99,,,100,98.14,,,54.93,54.42,58.27,65.13,43.84,60.24,51.23,34.26,,,50.22,30.68,63.77,59.89,53.59,35.24,39.35,24.5,23.82,1.31,35.78,35.78,0,0
214,DOM,Dominican Republic,64.71,59.12,64.86,60.47,77.96,74.92,42.4,35.13,29.34,24.75,64.61,58.22,87.06,88.35,10.42,12.05,74.5,66.87,61.27,49.56,65.46,39.51,90.17,90.17,8.11,8.11,44.9,37.3,100,100,100,100,45.1,36.11,39.7,34.14,29.34,24.75,97.28,97.28,82.81,79.43,97.55,97.07,96.45,96.22,58.36,51.51,64.08,91.97,10.42,12.05,95.65,92.45,53.35,41.3,67.64,57.86,42.08,42.08,62.15,41.28,66.09,17.03,65.89,62.05,66.52,37.79,64.39,41.23,90.17,90.17,8.11,8.11
218,ECU,Ecuador,57.42,54.65,72.58,65.22,82.97,76.93,52.2,41.98,59.87,52.43,47.31,47.6,84.08,83.66,28.22,33.75,62.01,64.75,46.8,43.33,25.92,32.04,0,0,12.76,12.76,57.48,42.41,100,100,99.93,99.87,50.12,41.86,54.28,42.11,59.87,52.43,100,100,91.16,90.99,72.01,71.56,85.38,84.61,69.78,49.72,73.93,92.57,28.22,33.75,68.98,53.67,55.04,75.83,36.32,42.19,46.63,46.63,70.96,41.98,58.1,41.81,44.23,48.39,30.44,32.57,21.4,31.51,0,0,12.76,12.76
818,EGY,Egypt,61.21,56.71,68.61,63.86,88.88,85.2,32.78,25.49,20.03,16.72,56.28,51.94,62.39,52.26,44.95,54.82,37.92,59.96,55.68,37.73,47.55,51.43,86.32,86.32,46.15,46.15,82.79,63.12,94.35,100,91.55,99.83,31.46,24.58,34.09,26.41,20.03,16.72,91.36,89.08,72.34,41.29,44.06,33.37,48.05,44.3,15.3,7.42,96.97,99.09,44.95,54.82,69.88,58.23,5.96,61.7,51.56,32.48,45.92,45.92,67.94,34.75,68.16,40.82,74.33,66.4,34.97,45.92,60.13,56.94,86.32,86.32,46.15,46.15
222,SLV,El Salvador,53.91,45.74,63.99,58.21,76.15,71.35,42.34,34.43,35.85,30.09,47.19,37.42,69.06,32.77,23.99,11.41,0,51.96,63.47,46.88,28.11,31.5,50.5,50.5,12.5,12.5,40.51,28.41,100,100,99.81,99.96,40.27,32.94,44.4,35.92,35.85,30.09,80.59,74.37,63.45,0.66,55.72,0.25,83.09,28,40.95,26.14,83.94,95,23.99,11.41,0,27.98,0,75.94,68.81,47.48,60.04,60.04,62.53,35.22,55.33,34.69,35.75,47.17,23.42,28.71,32.79,34.28,50.5,50.5,12.5,12.5
226,GNQ,Equatorial Guinea,60.4,64.51,49.66,45.97,57.18,57,31.89,21.64,58.55,48.65,67.55,76.86,87.76,88.53,20.76,47.75,64.46,74.22,70.08,88.21,99.97,100,52.51,52.51,16.38,16.38,18.98,10.3,78.41,87.76,86.88,88.49,32.7,21.63,31.09,21.64,58.55,48.65,72.18,72.18,100,100,100,100,99.48,99.45,52.49,45.79,81.81,96.21,20.76,47.75,84.87,87.06,44.06,61.39,65.62,99.99,,,72.01,41.6,99.09,100,95.85,97.89,99.94,100,100,100,52.51,52.51,16.38,16.38
232,ERI,Eritrea,39.34,37.7,46.12,43.1,64.88,62.64,7.09,2.41,36.46,33.35,34.81,34.09,27.52,27.37,,,94.09,38.13,29.57,44.4,43.47,48.83,0,0,36.51,36.51,12.8,6.59,100,100,99.2,100,6.92,2.26,7.26,2.57,36.46,33.35,0,0,28.6,28.6,28.07,28.07,24.54,23.99,15.49,13.29,97.27,99.09,,,88.19,76.26,100,0,46.26,78.14,0.89,0.89,23.12,16.03,7.91,2.72,24.86,36.21,40.88,48.2,46.06,49.47,0,0,36.51,36.51
233,EST,Estonia,64.31,71.21,73.24,69.69,78.87,73.92,58.45,58.49,88.82,81.93,58.35,72.22,92.39,93.1,4.56,12.37,76.04,62.34,33.62,70.42,54.29,86.7,96.42,96.42,40.75,40.75,47.2,34.89,100,100,99.97,99.88,57.61,58.25,59.29,58.73,88.82,81.93,100,100,100,100,100,100,100,100,46.02,37.63,77.87,93.33,4.56,12.37,98.57,87.14,53.52,37.53,27.24,87.38,33.22,33.22,45.84,65.62,35.02,64.49,48.67,74.64,48.27,96.38,60.31,77.02,96.42,96.42,40.75,40.75
231,ETH,Ethiopia,44.78,42.46,32.8,38.23,43.66,56.07,9.35,1.57,32.22,26.15,52.77,45.28,78.99,77.29,29.39,41.49,,,64.18,37.42,37.81,42.79,0,0,35.52,35.52,7.57,0.81,63.4,94.7,72.04,91.12,8.68,1.32,10.02,1.83,32.22,26.15,,,86.18,84.22,80.7,77.8,82.14,79.97,38.41,36.34,95.45,98.03,29.39,41.49,,,,,72.7,31.05,100,100,33.48,7.08,18.05,3.55,4.53,6.1,47.28,55.47,28.34,30.11,0,0,35.52,35.52
242,FJI,Fiji,53.09,48.84,61.7,58.75,70.36,67.08,39.93,38.2,79.74,73.82,47.35,42.23,46.45,44.19,29.72,45.97,64.97,78.69,56.91,33.59,17.73,12.16,64.8,64.8,18.78,18.78,25.89,17.7,100,100,100,100,42.29,40.65,37.57,35.76,79.74,73.82,82.67,81.67,25.84,17.74,26.53,23.83,48.66,47.92,8.63,2.03,88.48,97.58,29.72,45.97,73.33,79.96,56.6,77.43,58.66,29.77,,,56.49,43.89,52.94,42.22,37.98,37.3,20.81,12.96,14.65,11.37,64.8,64.8,18.78,18.78
246,FIN,Finland,78.64,79.29,99.35,94.91,99,94.3,100,95.91,100,96.74,64.83,68.88,89.25,91.2,5.98,9.15,61.11,91.13,62.33,61.19,49.1,54.95,97.01,97.01,49.97,49.97,97.5,85.76,100,100,100,100,100,93.89,100,97.93,100,96.74,100,100,100,100,100,100,96.13,95.27,39.23,35.86,61.05,85.6,5.98,9.15,95.02,95.01,27.2,87.25,53.97,48.1,60.17,60.17,91.26,91.18,44.58,58.75,56.55,78.78,51.88,58.28,46.32,51.61,97.01,97.01,49.97,49.97
250,FRA,France,83.95,80.67,95.71,91.67,95.97,91.07,97.22,96.22,83.29,72.08,76.11,73.34,96.25,94.63,25.08,26.86,57.71,52.79,70.46,65.7,96.82,90.67,95.56,95.56,67.77,67.77,99.26,89.56,95.46,93.5,92.1,90.65,95.77,93.23,98.66,99.21,83.29,72.08,100,96.99,100,100,100,100,99.97,99.97,74.05,59.18,88.48,93.18,25.08,26.86,78.37,68,37.05,37.58,57.58,50.2,92.56,92.56,83.95,76.74,51.05,48.71,76.37,86.2,95.62,89.17,98.01,92.17,95.56,95.56,67.77,67.77
266,GAB,Gabon,45.05,42.4,43.04,39.21,51.5,49.15,22.23,15.93,57.99,49.63,46.39,44.52,86.17,81.84,38.22,52.89,58.15,65.38,30.71,38.61,53.75,0.34,0,0,12.36,12.36,34.07,20.73,60.59,66.35,65.66,69.84,21.64,15.38,22.81,16.48,57.99,49.63,81.34,79.71,89.66,87.41,93.93,86.4,95.1,88.33,45.18,36.19,96.51,98.48,38.22,52.89,48.05,89.33,68.25,41.43,22.47,48.47,21.68,21.68,59.97,29.36,44.81,74.06,18.04,9.22,39.12,0.03,68.39,0.66,0,0,12.36,12.36
270,GMB,Gambia,42.42,40.53,47.99,45.42,63.14,62.06,16.8,10.98,38.15,35.85,38.72,37.27,43.12,43.12,,,49.94,54.98,36.67,30.42,41.36,42.1,26.32,26.32,26.02,26.02,7.84,5.14,100,100,100,100,16.34,10.62,17.27,11.34,38.15,35.85,59.81,59.81,23.57,23.5,31.64,31.62,33.43,33.16,44.32,40.49,90,94.54,,,74.62,82.12,25.26,27.84,45.83,40.37,,,6.07,1.16,40.63,15.87,26.81,22.78,50.52,52.27,32.21,31.92,26.32,26.32,26.02,26.02
268,GEO,Georgia,55.69,58.1,57.1,53.42,54.93,52.96,59.93,52.75,68.28,63.34,54.75,61.23,62.33,51.94,86.2,67.84,27.36,32.73,48.41,69.11,48.55,90.15,81.51,81.51,5.7,5.7,22.1,14.83,73.81,76.29,79.83,80.47,56.8,50.72,63.06,54.78,68.28,63.34,80.97,80.97,48.17,34.2,47.17,32.34,66.51,46.42,42.37,32.9,95.3,98.64,86.2,67.84,54.73,65.46,0,0,28.36,75.3,72.7,72.7,67.42,54.72,52.67,40.3,71.41,79.25,33.38,96.33,63.72,83.97,81.51,81.51,5.7,5.7
276,DEU,Germany,78.37,78.23,88.68,88.19,84.09,84.05,96.74,96.59,100,91.51,71.5,71.59,96.92,95.86,34.99,31.94,47.71,45.14,55.47,58.04,93.3,94.81,99.65,99.65,61.21,61.21,85.03,76.17,81.8,89.25,85.12,89.37,95.36,94.82,98.11,98.36,100,91.51,100,100,100,100,100,100,100,100,83.28,70.57,85.91,88.03,34.99,31.94,36.89,49.59,58.54,40.69,41.41,49.21,37.27,37.27,99.38,97.71,57.9,36.93,90.9,91.82,88.16,90.82,98.44,98.79,99.65,99.65,61.21,61.21
288,GHA,Ghana,49.66,47.81,44.42,42.6,52.37,54.89,26.52,15.86,48.46,43.28,53.15,51.29,77.96,78.55,0,12.18,55.19,69.63,57.59,45.32,40.5,30.63,53.73,53.73,28.76,28.76,10.23,5.31,79.03,88.1,81.89,87.78,26.05,15.39,26.99,16.33,48.46,43.28,67.12,67.12,78.96,78.96,82.74,82.74,90.27,90.27,57.2,55.2,84.24,92.12,0,12.18,57.06,78.19,53.33,61.08,54.11,52.53,46.09,46.09,79.52,32.32,72.55,34.52,35.71,32.87,43.33,26.95,37.67,34.3,53.73,53.73,28.76,28.76
300,GRC,Greece,73.6,75.72,91.03,89.62,89.23,87.81,100,100,60.77,50.98,61.98,66.44,90.89,90.38,33.42,34.26,63.74,67.25,42.17,54.9,46.41,49.81,97.72,97.72,49.5,49.5,88.17,77.65,90.77,96.74,89.09,92.41,100,100,100,100,60.77,50.98,86.03,85.18,100,100,100,100,100,100,47.3,36.61,89.54,96.82,33.42,34.26,46.53,65.64,80.95,68.86,41.93,48.79,44.22,44.22,46.9,78.28,0.19,54.31,59.46,65.69,50.32,47.26,42.5,52.36,97.72,97.72,49.5,49.5
308,GRD,Grenada,50.93,48.36,69.82,66.32,82.88,78.23,48.26,47.73,29.37,23.07,38.34,36.38,56.78,46.32,36.44,12.11,44.76,45.25,21.61,41.33,30.55,1.82,64.44,64.44,0.76,0.76,57.2,45.57,100,100,100,100,48.77,47.25,47.74,48.21,29.37,23.07,61.02,52.66,52.9,46.07,35.2,19.92,,,99.19,86.99,,,36.44,12.11,58.27,65.13,31.25,25.38,15.3,44.26,,,27.03,30.72,86.54,84.09,23.42,0,35.16,0,25.94,3.64,64.44,64.44,0.76,0.76
320,GTM,Guatemala,52.33,49.33,54.97,49.48,68.3,64.66,29.5,19.69,34.42,30.9,50.57,49.23,65.13,70.38,0.77,3.86,59.62,58.31,57.46,44.88,30.23,39.66,72.59,72.59,14.55,14.55,21.57,11.99,100,100,98.92,99.55,28.21,18.74,30.78,20.65,34.42,30.9,81.95,81.84,79.52,79.09,50.5,49.17,74.37,71.81,78.61,68.87,0,71.06,0.77,3.86,80.07,66.53,39.18,50.1,55.55,43.06,60.89,60.89,64.25,38.84,54.25,29.74,39.01,38.33,31.57,34.37,28.9,44.94,72.59,72.59,14.55,14.55
324,GIN,Guinea,46.62,46.78,45.02,41.62,60.77,60,12.79,3.14,33.56,33.67,47.69,50.22,83.29,81.87,0,30,58.92,69.76,37.24,33.07,31.6,32.18,51.13,51.13,30.5,30.5,2.16,0,100,100,99.68,100,12.69,3.09,12.89,3.18,33.56,33.67,78.98,78.98,99.71,92.78,93.64,87.95,89.32,88.62,26.74,24.28,82.88,97.73,0,30,96.2,89.67,21.63,49.85,48.89,43.79,,,12.16,10.16,9.95,6.35,1.75,1.21,39.66,40.73,23.55,23.63,51.13,51.13,30.5,30.5
624,GNB,Guinea-Bissau,44.67,41.94,43.6,40.16,60.5,60,10.01,0,25.37,23.16,45.38,43.13,85.77,87.67,0,23.3,36.45,65.42,53.23,27.88,32.8,29.25,0,0,20.94,20.94,1.26,0,100,100,100,100,9.61,0,10.42,0,25.37,23.16,99.03,99.02,96.64,94.14,99.62,99.35,78.01,78.01,42.17,39.61,68.93,96.06,0,23.3,39.85,94.81,33.04,36.02,66.94,32.64,,,23.41,18.82,11.95,6.86,21.9,18.59,38.82,35.72,26.78,22.79,0,0,20.94,20.94
328,GUY,Guyana,47.93,43.42,61.55,55.59,75.49,71.44,38.67,28.85,17.58,9.98,38.86,35.3,54.32,33.1,48.62,62.84,52.86,65.23,34.82,37.86,32.14,13.9,0,0,29.4,29.4,38.71,28.61,100,100,100,100,40.6,28.9,36.74,28.8,17.58,9.98,33.89,33.89,50.45,12.12,51.06,12.15,39.01,19.48,100,79.81,94.39,95.91,48.62,62.84,61.32,62.23,44.4,68.22,31.63,46.18,,,37.25,13.64,43.99,13.32,60.54,42.71,32.86,19.5,31.42,8.29,0,0,29.4,29.4
332,HTI,Haiti,33.74,30.59,45.24,42.16,62.21,60.7,15.45,9.02,3.46,0,26.08,22.88,14.39,17.83,8.29,28.59,62.75,60.01,42.53,17.97,20.76,36.25,0,0,10.83,10.83,5.52,1.75,100,100,100,100,15.04,8.69,15.87,9.34,3.46,0,0,0,1.58,1.58,2.86,2.86,23.13,23.13,45.42,38.94,43.32,84.24,8.29,28.59,86.81,98.23,38.7,21.8,60.02,20.77,6.34,6.34,41.26,20.53,38.46,18.9,21.62,25.44,28.8,46.65,12.71,25.85,0,0,10.83,10.83
340,HND,Honduras,51.51,47.97,55.95,51.38,68.9,66.64,34.06,24.8,19.01,12.52,48.54,45.7,84.11,82.67,3.59,17.02,54.38,62.57,46.02,30.79,17.68,16.95,56.32,56.32,10.21,10.21,22.25,16.6,100,100,100,100,33.85,24.19,34.26,25.41,19.01,12.52,94.12,85.37,88.66,81.3,94.35,81.46,93.18,90.12,77.28,67.01,23.17,83.18,3.59,17.02,76.1,80.93,32.66,44.21,47.93,26.63,45.02,45.02,44.2,22.34,47.37,32.27,36.73,47.89,23.43,22.09,11.93,11.81,56.32,56.32,10.21,10.21
348,HUN,Hungary,65.01,68.93,57.67,66.06,52.3,64.77,66.26,68.32,75.88,69.32,69.9,70.84,91.7,89.79,11.64,17.62,,,61.68,62.36,75.22,80.37,93.42,93.42,69.15,69.15,42.86,35.34,52.56,83.33,64.63,85.44,67.84,68.97,64.68,67.67,75.88,69.32,,,100,100,100,100,100,100,45.26,28.96,88.33,89.39,11.64,17.62,,,,,65.45,72.65,49.66,49.66,66.35,56.85,64.01,33.72,50.92,60.96,95.18,99.95,55.26,60.79,93.42,93.42,69.15,69.15
352,ISL,Iceland,78.57,74.49,98.41,95.47,98.55,94.85,100,100,86.99,76.42,65.34,60.51,75.77,47.4,,,39.3,42.42,61.96,66.02,49.11,61.22,94.47,94.47,59.78,59.78,96.39,87.13,100,100,100,100,100,100,100,100,86.99,76.42,75.62,75.2,68.5,25.15,68.5,25.15,81.01,36.02,70.41,50.99,100,100,,,36.11,38.61,42.48,46.23,51.59,60.45,100,100,50.52,53.16,50.75,39.06,70.51,64.33,7.39,33.7,90.83,88.74,94.47,94.47,59.78,59.78
356,IND,India,30.57,30.59,9.32,5.36,5.75,4.42,15.8,5.98,16.77,13.78,44.74,47.41,49.13,49.46,23.54,36.01,59.37,73.1,44.77,41.67,37.49,46.51,58.83,58.83,21.98,21.98,12.69,5.49,0,0,2.26,7.42,16.06,5.92,15.53,6.04,16.77,13.78,79.19,79.19,30.03,29.64,36.04,35.81,51.34,48.93,12.36,10.16,85.75,97.27,23.54,36.01,86.3,92.49,32.45,53.71,38.82,45.97,17.66,17.66,80.1,50.9,67.49,46.88,48.7,52.7,32.6,41.97,42.37,51.05,58.83,58.83,21.98,21.98
360,IDN,Indonesia,46.92,45.49,45.44,48.44,52.04,61.72,31.41,21.42,43.84,37.88,47.9,43.53,70.4,70.94,0.01,12.73,62.54,64.6,53.43,38.59,47.62,32.27,13.6,13.6,37.98,37.98,25.2,14.39,67.03,98.01,72.85,88.54,32.94,21.17,29.88,21.67,43.84,37.88,90.87,84.03,69.82,65.83,75.84,72.54,77.57,76.04,29.69,24.31,46.05,88.18,0.01,12.73,76.11,87.93,48.96,41.27,58.29,39.46,28.25,28.25,64.9,44.81,62.46,40.6,50.63,44.39,44.02,27.16,51.21,37.38,13.6,13.6,37.98,37.98
364,IRN,Iran,58.16,55.62,74.01,68.36,85.12,79.25,58.74,54.4,21.21,10.56,47.59,47.12,51.89,51.77,91.8,72.8,45.73,77.25,35.93,27.04,20.07,29.9,64.32,64.32,32.91,32.91,84.14,68.07,86.08,87.58,85.46,85.82,62.45,57.28,55.03,51.51,21.21,10.56,81.95,81.95,41.05,41.04,36.91,36.9,45.59,45.58,12.15,8.53,95.76,98.18,91.8,72.8,77.63,54.51,13.82,100,27.64,27.19,30.89,30.89,52.78,20.24,78.8,27.82,28.7,36.44,31.66,51.45,8.49,8.35,64.32,64.32,32.91,32.91
368,IRQ,Iraq,43.2,41.3,61.46,51.2,72.91,60.92,41.05,33.61,35.11,30.45,31.02,34.71,28.39,13.33,,,,,19.73,44.66,36.33,28.64,70.21,70.21,22.96,22.96,54.89,40.27,84.04,71.99,85.8,77.38,41.69,34.54,40.41,32.67,35.11,30.45,,,8.62,1.52,49.47,1.06,4.73,0.98,3.48,0,98.03,99.55,,,,,,,7.18,75.74,0,0,57.46,11.68,65.1,69,27.83,20.07,44.77,37.93,27.89,19.34,70.21,70.21,22.96,22.96
372,IRL,Ireland,78.77,76.83,95.92,92.07,95.78,91.22,100,99.21,73.18,60.3,67.34,66.66,88.63,80.26,8.78,7.71,71.14,67.42,54.16,63.52,87.23,78.15,91.19,91.19,61.94,61.94,89.46,78.05,100,100,100,100,100,98.42,100,100,73.18,60.3,89.32,82.51,86.62,71.22,86.62,71.22,99.95,99.94,64.46,55.94,96.82,96.82,8.78,7.71,76.24,71.19,66.05,63.64,61.69,65.75,51.74,51.74,32.42,62.03,39.66,73.37,89.91,84.41,86.01,79.69,88.45,76.61,91.19,91.19,61.94,61.94
376,ISR,Israel,75.01,70.44,94.14,91.84,95.67,92.75,92.03,92.39,86.92,76.61,62.25,56.17,59.33,57.6,29.26,22.32,85.34,69.04,57.09,50.62,75.82,61.97,99.49,99.49,26.03,26.03,92.19,82.77,100,100,95.96,98.82,89.53,89.43,94.54,95.34,86.92,76.61,58.29,56,77.62,75.63,52.9,48.66,60.8,55.1,17.64,12.81,76.51,92.42,29.26,22.32,70.67,81.6,100,56.49,48.52,38.7,42.6,42.6,74,72.89,90.41,69.05,99.71,94.3,87.06,70.93,64.59,53.01,99.49,99.49,26.03,26.03
380,ITA,Italy,76.96,75.17,85.88,88.44,80.56,85.35,100,100,70.23,59.24,71.02,66.32,94.1,93.38,30.96,41.58,37.99,46.11,65.14,49.63,88.55,71.17,97.53,97.53,49.03,49.03,92.69,83.16,69.67,88.06,75.28,85.56,100,100,100,100,70.23,59.24,95.77,95.58,100,100,100,100,99.98,99.79,60.57,47.91,88.94,95.15,30.96,41.58,17.27,30.03,58.71,62.19,55.89,30.16,58.02,58.02,94.86,93.56,69.34,25.54,63.03,59.09,86.99,71.58,90.12,70.77,97.53,97.53,49.03,49.03
388,JAM,Jamaica,58.58,55.84,68.48,66.61,78.74,76.1,51.04,50.7,39.72,38.76,51.98,48.66,83.12,85.86,24.03,19.08,29.07,64.11,52.26,30.37,21.03,16.55,76.99,76.99,8.32,8.32,46.85,40.26,100,100,100,100,49.67,50.41,52.4,50.98,39.72,38.76,80.28,80.15,84.71,84.45,95.27,95.18,99.94,99.93,57.89,51.15,52.87,88.03,24.03,19.08,18.48,33.07,39.66,95.15,62,20.93,25.08,25.08,65.73,58.31,45.78,43.69,16.16,20.79,14.69,0,27.38,33.09,76.99,76.99,8.32,8.32
392,JPN,Japan,74.69,76.81,92.99,93.57,90.78,91.49,96.6,96.98,100,100,62.48,65.64,90.34,92.52,37.89,42.21,36.79,53.76,45.08,49.93,72.34,62.55,94.06,94.06,45.41,45.41,100,100,82.76,84.09,86.49,87.56,100,98.75,93.21,95.21,100,100,97.6,97,100,100,100,100,99.19,99.05,41.63,38.23,68.18,94.85,37.89,42.21,20.15,43.13,53.42,64.4,24.43,35.27,16.8,16.8,98.94,98.44,98.86,95.24,95.4,89.61,62.89,58.83,81.78,66.27,94.06,94.06,45.41,45.41
400,JOR,Jordan,62.2,58.95,86.69,83.38,99.61,99.95,68.82,59.2,25.98,13.11,45.87,42.66,23.85,21.32,,,,,46.84,48,78.6,55.73,81.74,81.74,13.03,13.03,100,100,100,100,98.72,99.83,75.63,62.21,62,56.19,25.98,13.11,,,6.92,4.11,8.96,4.86,25.65,21.38,15.74,11.38,91.97,98.48,,,,,,,42.14,38.89,27.74,27.74,61.12,82.77,65.35,58.74,94.62,70.31,73.25,52.22,83.94,59.23,81.74,81.74,13.03,13.03
398,KAZ,Kazakhstan,54.56,56.38,66.7,60.93,68.41,65.81,62.89,51.49,67.5,54.25,46.46,53.35,30.73,26.92,59.52,45.17,,,47.82,70.12,47.07,66.07,79.83,79.83,22.85,22.85,33.25,20.05,93.58,99.54,90.11,93.08,59.12,48.36,66.66,54.62,67.5,54.25,,,19.2,14.65,23.75,18.78,28.33,22.43,6.13,4.71,97.12,98.94,59.52,45.17,,,,,40.7,76.38,45.52,45.52,69.46,77.69,89.36,50.55,0.01,95.23,42.95,54.25,51.2,77.89,79.83,79.83,22.85,22.85
404,KEN,Kenya,47.25,46.99,42.96,42.52,62.93,62.91,0.63,0,37.36,32.63,50.12,49.96,79.01,78.27,15.51,15.27,49.81,34.99,51.37,51.14,29.04,45.09,41.57,41.57,27.25,27.25,13.77,9.53,100,100,91.39,96.98,0.41,0,0.84,0,37.36,32.63,81.42,80.76,81.38,80.37,80.71,76.1,89.56,87.79,38.78,36.43,85.15,96.21,15.51,15.27,64.38,32.66,35.24,37.32,54.48,61.98,62.16,62.16,43.05,26.66,35.48,23.42,26.3,24.36,30.38,46.1,27.69,44.08,41.57,41.57,27.25,27.25
296,KIR,Kiribati,55.26,43.03,48.48,46.26,61.85,60.87,20.89,16.1,40.21,37.26,59.78,40.89,85.71,72.46,,,73.64,48.8,43.71,17.59,54.35,20.61,58.45,58.45,12.38,12.38,4.61,2.17,100,100,100,100,21.24,16,20.54,16.2,40.21,37.26,100,53.6,100,100,100,100,,,0,0,,,,,97.36,74.73,49.93,22.87,44.2,14.92,,,42.51,24.06,39.76,23.72,45.56,23.09,53.11,21.92,55.58,19.29,58.45,58.45,12.38,12.38
414,KWT,Kuwait,62.28,48.87,70.55,61.32,75.17,62.7,65.79,64.47,39,24.49,56.77,40.57,86.33,33.88,,,64.88,68.37,31.78,31.14,22.66,6.4,96.88,96.88,30.75,30.75,94.66,70.72,57.27,48.92,67.1,65.77,68.79,67.42,62.79,61.52,39,24.49,83.97,67.45,100,18.13,100,18.13,95.33,16.33,13.16,2.79,91.51,95.91,,,70.67,81.6,59.09,55.15,7.32,16.91,40.82,40.82,53.69,23.73,99.85,97.71,84.48,97.71,22.82,0,22.51,12.8,96.88,96.88,30.75,30.75
417,KGZ,Kyrgyzstan,54.86,54.38,54.78,49.5,59.49,55.48,44.74,36.99,53.74,46.76,54.92,57.64,74.02,73.79,99.81,60.85,,,32.5,45.39,21.41,46.74,65.61,65.61,49.82,49.82,22.34,10.67,83.08,84.72,85.44,85.98,41.2,34.42,48.28,39.57,53.74,46.76,,,72.72,72.49,79.89,79.71,81.77,81.58,30.09,26.38,93.33,96.36,99.81,60.85,,,,,17.71,42.8,59.24,59.24,43.38,36.49,39.53,30.21,22.88,66.75,29.5,38.54,13.32,54.95,65.61,65.61,49.82,49.82
418,LAO,Laos,42.94,37.22,25.15,24.28,23.37,28.67,27.59,14.46,33.69,26.09,54.8,45.86,76.77,85.43,0,22.75,,,77.39,44.29,52.56,26.99,0,0,33.06,33.06,4.41,0,33.75,43.26,38.28,52.31,26.05,13.32,29.12,15.6,33.69,26.09,,,93.54,93.54,96.61,96.61,92.57,92.53,43.59,37.9,5.13,80.15,0,22.75,,,,,84.57,45.82,,,64,40.52,60,41.95,47.74,40.37,53.05,26.52,52.08,27.46,0,0,33.06,33.06
