code,iso,Country,EPIcurrent,EPI.baseline,HLT.current,HLT.baseline,AIRcurrent,AIR.baseline,H2O.current,H2O.baseline,HMT.current,HMT.baseline,ECO.current,ECO.baseline,BDH.current,BDH.baseline,FRT.current,FRT.baseline,FSH.current,FSH.baseline,CCE.current,CCE.baseline,APE.current,APE.baseline,WRS.current,WRS.baseline,AGR.current,AGR.baseline,HAD.current,HAD.baseline,PME.current,PME.baseline,PMW.current,PMW.baseline,USD.current,USD.baseline,UWD.current,UWD.baseline,PBD.current,PBD.baseline,MPA.current,MPA.baseline,TBN.current,TBN.baseline,TBG.current,TBG.baseline,SPI.current,SPI.baseline,PAR.current,PAR.baseline,SHI.current,SHI.baseline,TCL.current,TCL.baseline,FSS.current,FSS.baseline,MTR.current,MTR.baseline,DCT.current,DCT.baseline,DPT.current,DPT.baseline,DMT.current,DMT.baseline,DNT.current,DNT.baseline,DBT.current,DBT.baseline,DST.current,DST.baseline,DXT.current,DXT.baseline,WWT.current,WWT.baseline,SNM.current,SNM.baseline
44,BHS,Bahamas,54.99,62.67,73.68,72.33,84.19,81.96,55.4,56.62,46.81,41.34,42.52,56.23,86.22,83.74,16.44,29.18,58.04,66.68,18.76,52.7,10.6,30.69,64.44,64.44,7.72,7.72,60.47,54.91,100,100,100,100,57.13,58.61,53.67,54.63,46.81,41.34,78.71,77.94,99.41,99.13,99.42,99.15,65.69,65.69,76.36,53.88,99.39,99.7,16.44,29.18,67.96,93.98,48.12,39.38,0,46.13,,,63.15,65.36,98.53,95.8,24.02,50.84,16.38,31.52,4.82,29.87,64.44,64.44,7.72,7.72
48,BHR,Bahrain,55.15,47.94,65.28,58.12,67.81,59.5,63.06,59.62,45.62,31.28,48.41,41.15,33.26,30.75,,,45.54,51.98,44.31,39.15,59.38,9.41,96.54,96.54,36.22,36.22,73.54,57.03,62.48,56.8,65.5,65.5,66.5,62.41,59.62,56.83,45.62,31.28,83.47,82.1,15.84,12.63,15.84,12.63,,,2.53,0.55,,,,,70.67,81.6,20.4,22.36,29.21,35.58,35.85,35.85,63,21.94,100,97.71,98.66,98.33,84.45,0.09,34.32,18.73,96.54,96.54,36.22,36.22
50,BGD,Bangladesh,29.56,27.64,11.96,7.21,4.12,2.01,28.47,17.93,14.72,10.53,41.29,41.26,53.58,52.58,12.13,32.54,66.86,63.67,46.95,38.15,40.22,51.65,0,0,37.82,37.82,10.31,5.01,0,0,0,0,28.02,17.42,28.92,18.45,14.72,10.53,94.02,90.86,19.35,17.96,81.37,81.05,23.58,21.22,6.54,4.65,92.57,98.94,12.13,32.54,98.13,99.49,35.58,27.84,44.11,39.12,31.44,31.44,65.32,40.57,64.09,37.08,46.83,46.62,52.91,56.87,27.53,46.42,0,0,37.82,37.82
52,BRB,Barbados,55.76,52.66,84.73,84.38,100,100,55.64,55.63,60.69,53.89,36.45,31.52,27.14,25.41,,,46.76,53.04,34.57,20.57,40.21,35.86,64.44,64.44,10.23,10.23,100,100,100,100,100,100,56.35,55.94,54.93,55.31,60.69,53.89,45.6,45.38,6.08,6.08,6.08,6.08,,,74.46,62.75,,,,,42.52,44.04,51,62.04,32.8,18.83,,,30.46,9.79,58.11,57.05,52.2,51.51,43.66,35.84,36.77,35.87,64.44,64.44,10.23,10.23
112,BLR,Belarus,64.98,68.95,69.55,70.08,69.71,72.25,68.66,66.5,72.8,63.39,61.94,68.19,65.61,60.94,15.34,22.52,,,64.73,75.76,72.33,100,97.54,97.54,28.1,28.1,68.5,50.22,69.55,86.03,71.47,87.83,66.13,63.96,71.2,69.03,72.8,63.39,,,62.03,53.94,62.03,53.94,72.6,70.07,40.37,35.67,91.21,95.91,15.34,22.52,,,,,73.1,98.59,39.38,39.38,70.2,59.68,74.98,61.5,50.24,71.55,72.06,100,72.6,100,97.54,97.54,28.1,28.1
56,BEL,Belgium,77.38,77.47,89.37,86.38,88.63,85.93,96.09,93.79,58.6,47.64,69.39,71.52,95.7,94.64,15.61,24.18,46.69,61.04,63.81,67.05,79.02,70.36,98.08,98.08,47.61,47.61,96.74,87.83,79.83,81.79,86.6,87.55,96.26,92.39,95.93,95.19,58.6,47.64,100,100,100,100,100,100,100,100,82.9,68.56,74.09,77.87,15.61,24.18,60.47,59.43,32.91,62.65,51.92,59.84,58.18,58.18,99.03,98.95,47.36,36.85,80.78,77.3,93.08,80.45,64.97,60.28,98.08,98.08,47.61,47.61
84,BLZ,Belize,57.79,60.34,65.09,61.99,74.73,72.47,46.74,42.43,49.86,43,52.93,59.24,93.47,98.11,5.11,16.34,44.27,60.18,45.03,56.28,39.57,30.19,59,59,25.14,25.14,36.82,31.18,100,100,100,100,48.06,42.76,45.42,42.11,49.86,43,100,97.66,100,100,100,100,99.88,99.85,100,100,34.99,86.06,5.11,16.34,58.91,66.54,29.64,53.82,52.03,67.85,,,20.65,20.76,39.87,40.56,49.77,52.14,38.4,33.76,40.74,26.62,59,59,25.14,25.14
204,BEN,Benin,38.17,38.04,36.36,38.05,50.66,55.11,6.37,2.71,30.23,28.4,39.37,38.03,75.08,75.55,3.49,0,48.18,59.98,34.35,25,25.05,30.22,10.7,10.7,31.11,31.11,6.23,3.05,81.35,89.83,79.22,89.79,6.13,2.4,6.62,3.01,30.23,28.4,0,0,100,100,100,100,98.42,96.95,67.73,65.69,86.21,95.91,3.49,0,74.62,82.12,21.74,37.84,29.23,21,23.13,23.13,59.02,34.71,46.82,27.17,19.27,31.46,39.78,42.09,10.32,18.34,10.7,10.7,31.11,31.11
64,BTN,Bhutan,47.22,53.13,35.27,33.64,36.89,38.66,32.6,24.14,30.28,25.36,55.18,66.13,96.3,95.42,59.79,70.36,,,43.76,80.09,48.28,29.41,0,0,33.15,33.15,24.94,12.27,41.52,51.48,48.2,61.02,30.3,21.57,34.9,26.7,30.28,25.36,,,100,100,100,100,99.55,99.54,74.78,64.54,96.51,99.7,59.79,70.36,,,,,29.76,87.25,,,81.53,67.78,82.97,68.87,49.38,40.26,45.77,30.93,50.79,27.88,0,0,33.15,33.15
68,BOL,Bolivia,55.98,53.35,61.64,53.38,70.92,65.89,44.57,28.83,43.51,37.98,52.21,53.33,88.58,88.51,18.38,24.82,,,33.49,30.38,38.72,51.88,63.66,63.66,54.41,54.41,30.12,18,100,100,96.22,95.65,44.96,28.98,44.18,28.68,43.51,37.98,,,97.22,97.14,97.06,96.97,86,85.12,73.36,60.41,74.69,89.24,18.38,24.82,,,,,23.33,38.62,34.36,34.36,54.79,10.27,51.77,14.67,28.1,28.29,56.25,63.5,21.18,40.25,63.66,63.66,54.41,54.41
