State,EPI Ranking,Environmental Performance Index,Environmental Health,Ecosystem Vitality,code
Turkmenistan,38,66.10,73.53,61.15,TKM
Uganda,145,44.28,33.64,51.38,UGA
Ukraine,109,52.87,64.44,45.16,UKR
United Arab Emirates,77,58.90,67.88,52.92,ARE
United Kingdom,6,79.89,96.03,69.13,GBR
United States of America,27,71.19,93.91,56.04,USA
Uruguay,47,64.65,84.72,51.27,URY
Uzbekistan,136,45.88,50.67,42.69,UZB
Vanuatu,144,44.55,50.46,40.61,VUT
Venezuela,51,63.89,75.74,55.99,VEN
Viet Nam,132,46.96,47.12,46.86,VNM
Zambia,117,50.97,31.57,63.91,ZMB
Zimbabwe,149,43.41,40.58,45.30,ZWE
